"","tract","hhs","medhhinc","civpop","prophealth"
"228","Census Tract 1908; Cook County; Illinois",1974,52404,6049,0.794
"229","Census Tract 1909; Cook County; Illinois",616,61500,1869,0.886
"230","Census Tract 1910; Cook County; Illinois",766,63611,2556,0.83
"231","Census Tract 1911; Cook County; Illinois",1950,50513,6651,0.838
"232","Census Tract 1912; Cook County; Illinois",1099,57292,3775,0.77
"233","Census Tract 1913.01; Cook County; Illinois",1617,55759,5211,0.83
"234","Census Tract 1913.02; Cook County; Illinois",1207,55072,4439,0.831
"235","Census Tract 2001; Cook County; Illinois",1298,68393,3666,0.911
"236","Census Tract 2002; Cook County; Illinois",1638,64583,4435,0.804
"237","Census Tract 2003; Cook County; Illinois",693,50515,1866,0.794
"238","Census Tract 2004.01; Cook County; Illinois",957,70046,3395,0.838
"239","Census Tract 2004.02; Cook County; Illinois",1319,77288,5072,0.826
"240","Census Tract 2101; Cook County; Illinois",1714,107717,4194,0.897
"241","Census Tract 2104; Cook County; Illinois",856,63077,2426,0.824
"242","Census Tract 2105.01; Cook County; Illinois",1450,61678,2866,0.827
"243","Census Tract 2105.02; Cook County; Illinois",1528,74855,4412,0.817
"244","Census Tract 2106.01; Cook County; Illinois",1110,93547,2817,0.917
"245","Census Tract 2106.02; Cook County; Illinois",1643,102625,4362,0.902
"246","Census Tract 2107; Cook County; Illinois",1470,93026,3724,0.867
"247","Census Tract 2108; Cook County; Illinois",440,96579,1132,0.79
"248","Census Tract 2109; Cook County; Illinois",1487,109844,3174,0.946
"249","Census Tract 2203; Cook County; Illinois",897,100461,1974,0.967
"250","Census Tract 2204; Cook County; Illinois",1199,114803,2670,0.981
"251","Census Tract 2205; Cook County; Illinois",1331,94867,2810,0.979
"252","Census Tract 2206.01; Cook County; Illinois",738,120427,1538,0.973
"253","Census Tract 2206.02; Cook County; Illinois",2587,61875,4311,0.95
"254","Census Tract 2207.01; Cook County; Illinois",1167,75625,3077,0.863
"255","Census Tract 2207.02; Cook County; Illinois",1645,79969,3937,0.879
"256","Census Tract 2209.01; Cook County; Illinois",1077,62917,3090,0.86
"257","Census Tract 2209.02; Cook County; Illinois",994,73239,3194,0.919
"258","Census Tract 2210; Cook County; Illinois",1079,82102,2571,0.777
"259","Census Tract 2211; Cook County; Illinois",1979,87478,4278,0.903
"260","Census Tract 2212; Cook County; Illinois",1250,128243,2865,0.961
"261","Census Tract 2213; Cook County; Illinois",1460,81264,3011,0.878
"262","Census Tract 2214; Cook County; Illinois",1515,104583,3083,0.932
"263","Census Tract 2215; Cook County; Illinois",1344,62500,2767,0.92
"264","Census Tract 2216; Cook County; Illinois",1423,135236,3389,0.975
"265","Census Tract 2222; Cook County; Illinois",1001,184727,2243,0.934
"266","Census Tract 2225; Cook County; Illinois",563,147582,1468,0.958
"267","Census Tract 2226; Cook County; Illinois",767,90313,1608,0.877
"268","Census Tract 2227; Cook County; Illinois",812,80391,2198,0.838
"269","Census Tract 2228; Cook County; Illinois",452,84239,1052,0.896
"270","Census Tract 2229; Cook County; Illinois",375,100847,986,0.929
"271","Census Tract 2301; Cook County; Illinois",624,90833,1636,0.889
"272","Census Tract 2302; Cook County; Illinois",680,72083,1977,0.943
"273","Census Tract 2303; Cook County; Illinois",252,58696,905,0.872
"274","Census Tract 2304; Cook County; Illinois",739,51495,2116,0.914
"275","Census Tract 2305; Cook County; Illinois",1258,28413,3080,0.822
"276","Census Tract 2306; Cook County; Illinois",2037,55304,8977,0.708
"277","Census Tract 2307; Cook County; Illinois",2005,32576,5773,0.788
"278","Census Tract 2308; Cook County; Illinois",362,68485,1029,0.832
"279","Census Tract 2309; Cook County; Illinois",2024,70926,4903,0.877
"280","Census Tract 2311; Cook County; Illinois",418,60333,1362,0.782
"281","Census Tract 2312; Cook County; Illinois",2078,39917,5957,0.905
"282","Census Tract 2315; Cook County; Illinois",2220,37237,5809,0.829
"283","Census Tract 2402; Cook County; Illinois",811,166458,1966,0.957
"284","Census Tract 2403; Cook County; Illinois",607,161125,1270,0.99
"285","Census Tract 2405; Cook County; Illinois",1322,171962,2515,1
"286","Census Tract 2406; Cook County; Illinois",713,157938,1639,0.936
"287","Census Tract 2407; Cook County; Illinois",717,102102,1634,0.946
"288","Census Tract 2408; Cook County; Illinois",654,130278,1474,0.961
"289","Census Tract 2409; Cook County; Illinois",536,76429,1093,0.938
"290","Census Tract 2410; Cook County; Illinois",826,90185,1638,0.881
"291","Census Tract 2411; Cook County; Illinois",1544,92927,3650,0.93
"292","Census Tract 2412; Cook County; Illinois",869,131875,1698,0.984
"293","Census Tract 2413; Cook County; Illinois",767,167292,1750,1
"294","Census Tract 2414; Cook County; Illinois",2480,178434,5584,0.975
"295","Census Tract 2415; Cook County; Illinois",1295,173393,2823,0.959
"296","Census Tract 2416; Cook County; Illinois",1702,111458,3397,0.949
"297","Census Tract 2420; Cook County; Illinois",2232,145583,4378,0.989
"298","Census Tract 2421; Cook County; Illinois",2000,179015,3817,0.953
"299","Census Tract 2422; Cook County; Illinois",1911,164025,4014,0.972
"300","Census Tract 2423; Cook County; Illinois",1724,104397,3805,0.962
"301","Census Tract 2424; Cook County; Illinois",1492,103095,2705,0.936
"302","Census Tract 2425; Cook County; Illinois",1537,81875,3255,0.855
"303","Census Tract 2426; Cook County; Illinois",2596,79583,5512,0.945
"304","Census Tract 2427; Cook County; Illinois",795,61964,1837,0.949
"305","Census Tract 2428; Cook County; Illinois",670,139500,1450,0.968
"306","Census Tract 2429; Cook County; Illinois",851,143750,2032,0.967
"307","Census Tract 2430; Cook County; Illinois",1059,113125,2223,0.927
"308","Census Tract 2431; Cook County; Illinois",947,114464,2159,0.971
"309","Census Tract 2432; Cook County; Illinois",1069,136094,2316,0.951
"310","Census Tract 2433; Cook County; Illinois",1317,128375,2285,0.884
"311","Census Tract 2434; Cook County; Illinois",1424,124773,2931,0.952
"312","Census Tract 2435; Cook County; Illinois",2315,160370,4567,0.957
"313","Census Tract 2502; Cook County; Illinois",901,49327,3051,0.846
"314","Census Tract 2503; Cook County; Illinois",1604,47550,4844,0.866
"315","Census Tract 2504; Cook County; Illinois",2030,46709,5513,0.928
"316","Census Tract 2505; Cook County; Illinois",2805,119514,6903,0.933
"317","Census Tract 2506; Cook County; Illinois",1290,65486,4542,0.936
"318","Census Tract 2507; Cook County; Illinois",2239,44624,6466,0.874
"319","Census Tract 2508; Cook County; Illinois",787,63047,2693,0.891
"320","Census Tract 2510; Cook County; Illinois",426,31690,1380,0.842
"321","Census Tract 2511; Cook County; Illinois",1754,38350,4544,0.944
"322","Census Tract 2512; Cook County; Illinois",1200,46483,3840,0.74
"323","Census Tract 2513; Cook County; Illinois",1498,38920,4915,0.925
"324","Census Tract 2514; Cook County; Illinois",2130,22029,3712,0.946
"325","Census Tract 2515; Cook County; Illinois",1357,40077,4324,0.861
"326","Census Tract 2516; Cook County; Illinois",1240,35417,4456,0.885
"327","Census Tract 2517; Cook County; Illinois",422,52763,1291,0.894
"328","Census Tract 2518; Cook County; Illinois",1740,30341,5399,0.92
"329","Census Tract 2519; Cook County; Illinois",2344,26300,5086,0.877
"330","Census Tract 2520; Cook County; Illinois",2584,29596,6167,0.954
"331","Census Tract 2521.01; Cook County; Illinois",683,35574,1492,0.859
"332","Census Tract 2521.02; Cook County; Illinois",2203,47255,7020,0.79
"333","Census Tract 2522.01; Cook County; Illinois",1063,47979,2865,0.955
"334","Census Tract 2522.02; Cook County; Illinois",1828,41167,4945,0.907
"335","Census Tract 2601; Cook County; Illinois",592,18906,1016,0.867
"336","Census Tract 2602; Cook County; Illinois",372,45857,1232,0.927
"337","Census Tract 2603; Cook County; Illinois",574,20739,1878,0.889
"338","Census Tract 2604; Cook County; Illinois",455,NA,939,0.957
"339","Census Tract 2605; Cook County; Illinois",623,39102,1767,0.938
"340","Census Tract 2606; Cook County; Illinois",691,47708,2398,0.905
"341","Census Tract 2607; Cook County; Illinois",555,42917,1524,0.934
"342","Census Tract 2608; Cook County; Illinois",673,39696,2001,0.837
"343","Census Tract 2609; Cook County; Illinois",426,19417,1245,0.876
"344","Census Tract 2610; Cook County; Illinois",949,45086,2268,0.974
"345","Census Tract 2705; Cook County; Illinois",625,19717,1380,0.972
"346","Census Tract 2712; Cook County; Illinois",393,32401,1384,0.908
"347","Census Tract 2713; Cook County; Illinois",360,23900,964,0.951
"348","Census Tract 2714; Cook County; Illinois",515,40670,1359,0.854
"349","Census Tract 2715; Cook County; Illinois",528,42171,1470,0.897
"350","Census Tract 2718; Cook County; Illinois",236,58167,656,0.915
"351","Census Tract 2801; Cook County; Illinois",5289,136378,7718,0.973
"352","Census Tract 2804; Cook County; Illinois",544,44414,1423,0.955
"353","Census Tract 2808; Cook County; Illinois",387,21103,839,0.969
"354","Census Tract 2809; Cook County; Illinois",379,47784,1122,0.806
"355","Census Tract 2819; Cook County; Illinois",4133,135243,6749,0.989
"356","Census Tract 2827; Cook County; Illinois",957,79330,2243,0.941
"357","Census Tract 2828; Cook County; Illinois",562,81286,1498,0.865
"358","Census Tract 2831; Cook County; Illinois",1353,44129,2729,0.898
"359","Census Tract 2832; Cook County; Illinois",778,57055,1727,0.991
"360","Census Tract 2838; Cook County; Illinois",1631,77422,3504,0.94
"361","Census Tract 2909; Cook County; Illinois",1388,34349,4241,0.928
"362","Census Tract 2912; Cook County; Illinois",659,24120,1312,0.891
"363","Census Tract 2916; Cook County; Illinois",562,120207,1429,0.943
"364","Census Tract 2922; Cook County; Illinois",975,33736,2540,0.861
"365","Census Tract 2924; Cook County; Illinois",693,41875,1765,0.844
"366","Census Tract 2925; Cook County; Illinois",1518,52500,3461,0.757
"367","Census Tract 3005; Cook County; Illinois",954,50329,3240,0.76
"368","Census Tract 3006; Cook County; Illinois",943,48915,2725,0.752
"369","Census Tract 3007; Cook County; Illinois",1668,46554,4791,0.753
"370","Census Tract 3008; Cook County; Illinois",1207,29684,4192,0.687
"371","Census Tract 3009; Cook County; Illinois",1582,32766,3937,0.822
"372","Census Tract 3011; Cook County; Illinois",769,34608,2409,0.868
"373","Census Tract 3012; Cook County; Illinois",1510,50040,5209,0.875
"374","Census Tract 3016; Cook County; Illinois",1420,28442,3247,0.844
"375","Census Tract 3017.01; Cook County; Illinois",1406,52115,4205,0.796
"376","Census Tract 3017.02; Cook County; Illinois",1283,43632,4086,0.751
"377","Census Tract 3018.01; Cook County; Illinois",1185,35779,4086,0.831
"378","Census Tract 3018.02; Cook County; Illinois",849,33668,2623,0.855
"379","Census Tract 3018.03; Cook County; Illinois",1203,36020,3168,0.892
"380","Census Tract 3102; Cook County; Illinois",750,133382,1824,0.934
"381","Census Tract 3103; Cook County; Illinois",784,66683,1836,0.9
"382","Census Tract 3104; Cook County; Illinois",660,77991,1456,0.867
"383","Census Tract 3105; Cook County; Illinois",618,58321,1599,0.744
"384","Census Tract 3106; Cook County; Illinois",2349,73508,5542,0.903
"385","Census Tract 3107; Cook County; Illinois",600,62647,1354,0.809
"386","Census Tract 3108; Cook County; Illinois",1739,63779,4633,0.834
"387","Census Tract 3109; Cook County; Illinois",1847,78287,4914,0.871
"388","Census Tract 3201.01; Cook County; Illinois",5038,119616,8691,0.914
"389","Census Tract 3201.02; Cook County; Illinois",2548,162021,5429,0.975
"390","Census Tract 3204; Cook County; Illinois",812,162143,3004,0.875
"391","Census Tract 3206; Cook County; Illinois",3653,108320,6116,0.968
"392","Census Tract 3301.01; Cook County; Illinois",2740,177254,5011,0.925
"393","Census Tract 3301.02; Cook County; Illinois",6171,112762,9617,0.983
"394","Census Tract 3301.03; Cook County; Illinois",4812,125175,8302,0.958
"395","Census Tract 3302; Cook County; Illinois",1786,128000,3969,0.979
"396","Census Tract 3403; Cook County; Illinois",693,47519,1698,0.923
"397","Census Tract 3404; Cook County; Illinois",685,49309,1630,0.842
"398","Census Tract 3405; Cook County; Illinois",955,57720,1558,0.926
"399","Census Tract 3406; Cook County; Illinois",474,19348,1317,0.926
"400","Census Tract 3501; Cook County; Illinois",1509,61620,2439,0.961
"401","Census Tract 3504; Cook County; Illinois",674,22292,1777,0.89
"402","Census Tract 3510; Cook County; Illinois",2419,54688,3526,0.902
"403","Census Tract 3511; Cook County; Illinois",1069,18220,2160,0.931
"404","Census Tract 3514; Cook County; Illinois",815,NA,1569,0.885
"405","Census Tract 3515; Cook County; Illinois",380,63235,946,0.953
"406","Census Tract 3602; Cook County; Illinois",757,26638,1672,0.835
"407","Census Tract 3801; Cook County; Illinois",1121,NA,1911,0.964
"408","Census Tract 3802; Cook County; Illinois",1236,25167,1723,1
"409","Census Tract 3806; Cook County; Illinois",2006,25455,4023,0.962
"410","Census Tract 3812; Cook County; Illinois",1023,44757,1906,0.931
"411","Census Tract 3814; Cook County; Illinois",756,34300,1615,0.821
"412","Census Tract 3815; Cook County; Illinois",422,23288,670,0.931
"413","Census Tract 3817; Cook County; Illinois",0,NA,0,NA
"414","Census Tract 3818; Cook County; Illinois",765,46813,1473,0.888
"415","Census Tract 3819; Cook County; Illinois",587,58803,1348,0.903
"416","Census Tract 3901; Cook County; Illinois",774,65833,1854,0.849
"417","Census Tract 3902; Cook County; Illinois",889,104441,2178,0.935
"418","Census Tract 3903; Cook County; Illinois",1597,19475,2532,0.925
"419","Census Tract 3904; Cook County; Illinois",1414,27232,2289,0.936
"420","Census Tract 3905; Cook County; Illinois",885,58194,1766,0.92
"421","Census Tract 3906; Cook County; Illinois",884,76806,1824,0.906
"422","Census Tract 3907; Cook County; Illinois",3541,67832,6047,0.96
"423","Census Tract 4003; Cook County; Illinois",631,84293,1361,0.959
"424","Census Tract 4004; Cook County; Illinois",948,40066,2192,0.935
"425","Census Tract 4005; Cook County; Illinois",1122,22463,2634,0.879
"426","Census Tract 4008; Cook County; Illinois",1280,21029,2768,0.951
"427","Census Tract 4101; Cook County; Illinois",1424,51471,2251,0.937
"428","Census Tract 4102; Cook County; Illinois",762,51739,1281,0.991
"429","Census Tract 4105; Cook County; Illinois",1660,70833,3405,0.924
"430","Census Tract 4106; Cook County; Illinois",1141,39461,2234,0.966
"431","Census Tract 4107; Cook County; Illinois",1254,45972,2541,0.963
"432","Census Tract 4108; Cook County; Illinois",1736,58396,2890,0.948
"433","Census Tract 4109; Cook County; Illinois",1863,71315,3519,0.963
"434","Census Tract 4110; Cook County; Illinois",2406,52596,3888,0.957
"435","Census Tract 4111; Cook County; Illinois",984,123750,2388,0.969
"436","Census Tract 4112; Cook County; Illinois",777,111058,1643,0.997
"437","Census Tract 4201; Cook County; Illinois",859,21275,1629,0.936
"438","Census Tract 4202; Cook County; Illinois",664,30461,1634,0.965
"439","Census Tract 4203; Cook County; Illinois",675,38583,2495,0.946
"440","Census Tract 4204; Cook County; Illinois",709,32938,1327,0.916
"441","Census Tract 4205; Cook County; Illinois",1052,25298,2040,0.909
"442","Census Tract 4206; Cook County; Illinois",986,34643,2618,0.858
"443","Census Tract 4207; Cook County; Illinois",1165,24785,2274,0.9
"444","Census Tract 4208; Cook County; Illinois",943,44375,2322,0.9
"445","Census Tract 4212; Cook County; Illinois",689,41910,1986,0.779
"446","Census Tract 4301.01; Cook County; Illinois",1773,32264,3468,0.948
"447","Census Tract 4301.02; Cook County; Illinois",2428,50625,3542,0.899
"448","Census Tract 4302; Cook County; Illinois",2703,33183,5455,0.895
"449","Census Tract 4303; Cook County; Illinois",1041,36467,2605,0.971
"450","Census Tract 4304; Cook County; Illinois",1342,36917,2957,0.908
"451","Census Tract 4305; Cook County; Illinois",1839,28528,3882,0.907
"452","Census Tract 4306; Cook County; Illinois",837,54375,2218,0.938
"453","Census Tract 4307; Cook County; Illinois",1281,30561,2019,0.843
"454","Census Tract 4308; Cook County; Illinois",813,45221,2016,0.899
"455","Census Tract 4309; Cook County; Illinois",879,38173,1681,0.938
"456","Census Tract 4312; Cook County; Illinois",1278,57845,2399,0.901
"457","Census Tract 4313.01; Cook County; Illinois",1354,36867,3555,0.886
"458","Census Tract 4313.02; Cook County; Illinois",1677,32031,3788,0.94
"459","Census Tract 4314; Cook County; Illinois",3427,37122,7109,0.944
"460","Census Tract 4401.01; Cook County; Illinois",2388,28877,3986,0.821
"461","Census Tract 4401.02; Cook County; Illinois",1987,40565,3320,0.82
"462","Census Tract 4402.01; Cook County; Illinois",2474,34355,6077,0.951
"463","Census Tract 4402.02; Cook County; Illinois",1595,31537,2763,0.937
"464","Census Tract 4403; Cook County; Illinois",2109,46747,4650,0.941
"465","Census Tract 4406; Cook County; Illinois",709,58631,1612,0.923
"466","Census Tract 4407; Cook County; Illinois",544,77300,1453,0.947
"467","Census Tract 4408; Cook County; Illinois",687,35292,1877,0.852
"468","Census Tract 4409; Cook County; Illinois",1029,39730,2377,0.918
"469","Census Tract 4503; Cook County; Illinois",1526,51990,3461,0.92
"470","Census Tract 4601; Cook County; Illinois",995,47790,2619,0.844
"471","Census Tract 4602; Cook County; Illinois",918,28487,1880,0.909
"472","Census Tract 4603.01; Cook County; Illinois",1207,31831,3189,0.829
"473","Census Tract 4603.02; Cook County; Illinois",1250,50056,4212,0.964
"474","Census Tract 4604; Cook County; Illinois",1314,68475,3682,0.938
"475","Census Tract 4605; Cook County; Illinois",2771,68207,6284,0.862
"476","Census Tract 4608; Cook County; Illinois",1400,32654,4376,0.882
"477","Census Tract 4610; Cook County; Illinois",711,17182,1336,0.942
"478","Census Tract 4701; Cook County; Illinois",997,45855,2246,0.839
"479","Census Tract 4801; Cook County; Illinois",941,72171,2161,0.969
"480","Census Tract 4802; Cook County; Illinois",603,54338,1057,0.976
"481","Census Tract 4803; Cook County; Illinois",483,57839,1131,0.972
"482","Census Tract 4804; Cook County; Illinois",2325,83567,5013,0.958
"483","Census Tract 4805; Cook County; Illinois",1177,46250,2725,0.93
"484","Census Tract 4902; Cook County; Illinois",1387,63175,2944,0.918
"485","Census Tract 4905; Cook County; Illinois",743,67135,1775,0.879
"486","Census Tract 4906; Cook County; Illinois",556,63947,1446,0.961
"487","Census Tract 4907; Cook County; Illinois",889,44792,2459,0.925
"488","Census Tract 4908; Cook County; Illinois",1294,51591,3705,0.873
"489","Census Tract 4909.01; Cook County; Illinois",1254,35038,3084,0.86
"490","Census Tract 4909.02; Cook County; Illinois",1774,67428,4697,0.891
"491","Census Tract 4910; Cook County; Illinois",1167,22438,3417,0.86
"492","Census Tract 4911; Cook County; Illinois",1368,68155,3935,0.869
"493","Census Tract 4912; Cook County; Illinois",669,53586,1932,0.874
"494","Census Tract 4913; Cook County; Illinois",602,40700,2123,0.889
"495","Census Tract 4914; Cook County; Illinois",1033,36480,2539,0.892
"496","Census Tract 5001; Cook County; Illinois",1577,71108,3231,0.988
"497","Census Tract 5002; Cook County; Illinois",771,38451,1831,0.879
"498","Census Tract 5003; Cook County; Illinois",920,48469,1794,0.903
"499","Census Tract 5101; Cook County; Illinois",1221,56806,3639,0.907
"500","Census Tract 5102; Cook County; Illinois",1251,55417,3714,0.897
"501","Census Tract 5103; Cook County; Illinois",1908,30607,4640,0.971
"502","Census Tract 5201; Cook County; Illinois",497,57446,2062,0.681
"503","Census Tract 5202; Cook County; Illinois",1198,58438,3652,0.837
"504","Census Tract 5203; Cook County; Illinois",1991,50276,5896,0.841
"505","Census Tract 5204; Cook County; Illinois",1452,49505,4393,0.866
"506","Census Tract 5205; Cook County; Illinois",1512,87381,5171,0.878
"507","Census Tract 5206; Cook County; Illinois",771,99688,2726,0.97
"508","Census Tract 5301; Cook County; Illinois",821,38027,1915,0.82
"509","Census Tract 5302; Cook County; Illinois",1454,41464,4358,0.888
"510","Census Tract 5303; Cook County; Illinois",1528,53574,3484,0.945
"511","Census Tract 5304; Cook County; Illinois",816,80147,2356,0.898
"512","Census Tract 5305.01; Cook County; Illinois",1805,39632,5118,0.861
"513","Census Tract 5305.02; Cook County; Illinois",584,63621,1464,0.87
"514","Census Tract 5305.03; Cook County; Illinois",1525,47262,4369,0.941
"515","Census Tract 5306; Cook County; Illinois",954,38304,2385,0.866
"516","Census Tract 5401.01; Cook County; Illinois",1647,16712,4460,0.893
"517","Census Tract 5401.02; Cook County; Illinois",1283,28711,3357,0.946
"518","Census Tract 5501; Cook County; Illinois",2668,NA,6197,0.897
"519","Census Tract 5502; Cook County; Illinois",1057,70197,2824,0.947
"520","Census Tract 5601; Cook County; Illinois",342,59286,1030,0.948
"521","Census Tract 5602; Cook County; Illinois",542,46979,1372,0.915
"522","Census Tract 5603; Cook County; Illinois",1081,56250,3079,0.913
"523","Census Tract 5604; Cook County; Illinois",489,77125,1744,0.818
"524","Census Tract 5607; Cook County; Illinois",1289,78411,3584,0.855
"525","Census Tract 5608; Cook County; Illinois",1932,103098,6003,0.913
"526","Census Tract 5609; Cook County; Illinois",1849,117188,5131,0.958
"527","Census Tract 5610; Cook County; Illinois",2276,106375,6040,0.949
"528","Census Tract 5611; Cook County; Illinois",2276,95926,5888,0.937
"529","Census Tract 5701; Cook County; Illinois",455,52212,1421,0.951
"530","Census Tract 5702; Cook County; Illinois",806,NA,2084,0.961
"531","Census Tract 5703; Cook County; Illinois",1814,50641,5951,0.862
"532","Census Tract 5704; Cook County; Illinois",600,75125,1712,0.791
"533","Census Tract 5705; Cook County; Illinois",775,77772,2699,0.881
"534","Census Tract 5801; Cook County; Illinois",946,51111,2662,0.902
"535","Census Tract 5802; Cook County; Illinois",856,39865,2988,0.88
"536","Census Tract 5803; Cook County; Illinois",790,61974,2569,0.841
"537","Census Tract 5804; Cook County; Illinois",1482,55355,4672,0.871
"538","Census Tract 5805.01; Cook County; Illinois",1594,45854,4716,0.838
"539","Census Tract 5805.02; Cook County; Illinois",1487,46853,4932,0.764
"540","Census Tract 5806; Cook County; Illinois",1676,59631,5402,0.868
"541","Census Tract 5807; Cook County; Illinois",1669,57269,6110,0.809
"542","Census Tract 5808; Cook County; Illinois",558,63333,2096,0.723
"543","Census Tract 5905; Cook County; Illinois",740,69697,1672,0.922
"544","Census Tract 5906; Cook County; Illinois",1430,65192,3813,0.864
"545","Census Tract 5907; Cook County; Illinois",1018,76667,2914,0.876
"546","Census Tract 6004; Cook County; Illinois",1593,62599,3963,0.9
"547","Census Tract 6006; Cook County; Illinois",1195,60625,2953,0.962
"548","Census Tract 6007; Cook County; Illinois",1207,65342,2870,0.881
"549","Census Tract 6009; Cook County; Illinois",1422,68526,3733,0.917
"550","Census Tract 6103; Cook County; Illinois",2134,38984,5670,0.788
"551","Census Tract 6104; Cook County; Illinois",585,37480,1888,0.774
"552","Census Tract 6108; Cook County; Illinois",559,86705,1521,0.891
"553","Census Tract 6112; Cook County; Illinois",773,32793,2068,0.784
"554","Census Tract 6113; Cook County; Illinois",1043,45283,3409,0.853
"555","Census Tract 6114; Cook County; Illinois",1003,29194,3587,0.826
"556","Census Tract 6115; Cook County; Illinois",961,40960,3091,0.695
"557","Census Tract 6116; Cook County; Illinois",536,NA,1995,0.814
"558","Census Tract 6117; Cook County; Illinois",759,21701,1847,0.676
"559","Census Tract 6118; Cook County; Illinois",724,NA,2186,0.829
"560","Census Tract 6119; Cook County; Illinois",534,34000,1559,0.889
"561","Census Tract 6120; Cook County; Illinois",516,47300,1317,0.583
"562","Census Tract 6121; Cook County; Illinois",367,27583,1018,0.859
"563","Census Tract 6122; Cook County; Illinois",1137,41514,3687,0.828
"564","Census Tract 6201; Cook County; Illinois",1215,68438,4798,0.849
"565","Census Tract 6202; Cook County; Illinois",760,62250,1948,0.982
"566","Census Tract 6203; Cook County; Illinois",2273,67292,7080,0.887
"567","Census Tract 6204; Cook County; Illinois",1298,53575,4540,0.943
"568","Census Tract 6303; Cook County; Illinois",1419,51920,4167,0.816
"569","Census Tract 6304; Cook County; Illinois",1775,39828,6003,0.825
"570","Census Tract 6305; Cook County; Illinois",1647,48986,5989,0.816
"571","Census Tract 6306; Cook County; Illinois",856,51643,2746,0.853
"572","Census Tract 6308; Cook County; Illinois",1772,68558,6361,0.843
"573","Census Tract 6309; Cook County; Illinois",1500,41600,4856,0.919
"574","Census Tract 6401; Cook County; Illinois",470,51579,1348,0.827
"575","Census Tract 6403; Cook County; Illinois",2302,79750,6897,0.964
"576","Census Tract 6404; Cook County; Illinois",1195,90142,3309,0.931
"577","Census Tract 6405; Cook County; Illinois",1606,72813,4132,0.947
"578","Census Tract 6406; Cook County; Illinois",1762,79231,4427,0.934
"579","Census Tract 6407; Cook County; Illinois",1020,72297,3110,0.839
"580","Census Tract 6408; Cook County; Illinois",577,38365,1505,0.942
"581","Census Tract 6501; Cook County; Illinois",1434,59966,4622,0.858
"582","Census Tract 6502; Cook County; Illinois",2193,92357,7211,0.889
"583","Census Tract 6503.01; Cook County; Illinois",1560,59569,4863,0.86
"584","Census Tract 6503.02; Cook County; Illinois",1229,60739,4945,0.862
"585","Census Tract 6504; Cook County; Illinois",1636,72308,6794,0.82
"586","Census Tract 6505; Cook County; Illinois",1572,66818,4142,0.937
"587","Census Tract 6603.01; Cook County; Illinois",601,24628,1761,0.96
"588","Census Tract 6603.02; Cook County; Illinois",1441,44329,4612,0.847
"589","Census Tract 6604; Cook County; Illinois",1565,44297,4719,0.825
"590","Census Tract 6605; Cook County; Illinois",1398,42247,4284,0.758
"591","Census Tract 6606; Cook County; Illinois",2018,36729,5849,0.873
"592","Census Tract 6607; Cook County; Illinois",634,33347,1617,0.899
"593","Census Tract 6608; Cook County; Illinois",2212,41099,5832,0.877
"594","Census Tract 6609; Cook County; Illinois",1643,41032,5631,0.817
"595","Census Tract 6610; Cook County; Illinois",2137,46066,5424,0.865
"596","Census Tract 6611; Cook County; Illinois",1933,78778,7186,0.839
"597","Census Tract 6701; Cook County; Illinois",447,24583,1472,0.774
"598","Census Tract 6702; Cook County; Illinois",356,34459,724,0.916
"599","Census Tract 6703; Cook County; Illinois",413,30179,1332,0.794
"600","Census Tract 6704; Cook County; Illinois",617,32083,1616,0.845
"601","Census Tract 6705; Cook County; Illinois",358,30313,1004,0.909
"602","Census Tract 6706; Cook County; Illinois",367,37621,1174,0.767
"603","Census Tract 6707; Cook County; Illinois",312,35500,1092,0.822
"604","Census Tract 6708; Cook County; Illinois",425,39297,1022,0.823
"605","Census Tract 6709; Cook County; Illinois",548,29906,1246,0.82
"606","Census Tract 6711; Cook County; Illinois",373,15159,915,0.755
"607","Census Tract 6712; Cook County; Illinois",268,40286,840,0.863
"608","Census Tract 6713; Cook County; Illinois",742,28056,1657,0.865
"609","Census Tract 6714; Cook County; Illinois",565,26080,1296,0.76
"610","Census Tract 6715; Cook County; Illinois",930,34167,2308,0.931
"611","Census Tract 6716; Cook County; Illinois",707,21063,1709,0.874
"612","Census Tract 6718; Cook County; Illinois",378,34470,1128,0.872
"613","Census Tract 6719; Cook County; Illinois",348,NA,1034,0.871
"614","Census Tract 6720; Cook County; Illinois",1058,38654,3281,0.896
"615","Census Tract 6805; Cook County; Illinois",553,39306,1474,0.885
"616","Census Tract 6806; Cook County; Illinois",443,50330,1178,0.969
"617","Census Tract 6809; Cook County; Illinois",1908,22846,3540,0.722
"618","Census Tract 6810; Cook County; Illinois",1028,NA,2297,0.93
"619","Census Tract 6811; Cook County; Illinois",802,32583,1932,0.933
"620","Census Tract 6812; Cook County; Illinois",763,17338,1874,0.868
"621","Census Tract 6813; Cook County; Illinois",880,17500,2323,0.847
"622","Census Tract 6814; Cook County; Illinois",651,51531,1879,0.827
"623","Census Tract 6903; Cook County; Illinois",736,35319,1894,0.867
"624","Census Tract 6904; Cook County; Illinois",1480,40722,2896,0.878
"625","Census Tract 6905; Cook County; Illinois",333,56203,742,0.902
"626","Census Tract 6909; Cook County; Illinois",1744,41131,3809,0.892
"627","Census Tract 6910; Cook County; Illinois",1221,78375,2655,0.98
"628","Census Tract 6911; Cook County; Illinois",1118,57542,2883,0.938
"629","Census Tract 6912; Cook County; Illinois",870,35551,1984,0.908
