"","tract","hhs","medhhinc","civpop","prophealth"
"1263","Census Tract 8356; Cook County; Illinois",420,13438,749,1
"1264","Census Tract 8358; Cook County; Illinois",798,79868,1852,0.932
"1265","Census Tract 8360; Cook County; Illinois",1126,77292,3022,0.957
"1266","Census Tract 8361; Cook County; Illinois",782,20948,1827,0.935
"1267","Census Tract 8362; Cook County; Illinois",107,146250,1615,0.969
"1268","Census Tract 8363; Cook County; Illinois",688,64722,1744,0.942
"1269","Census Tract 8364; Cook County; Illinois",1891,24764,3783,0.947
"1270","Census Tract 8365; Cook County; Illinois",779,30944,1522,0.97
"1271","Census Tract 8366; Cook County; Illinois",969,80763,2261,0.976
"1272","Census Tract 8367; Cook County; Illinois",1033,51434,2507,0.954
"1273","Census Tract 8368; Cook County; Illinois",949,19453,2635,0.8
"1274","Census Tract 8369; Cook County; Illinois",609,25650,1994,0.83
"1275","Census Tract 8370; Cook County; Illinois",815,41023,1843,0.804
"1276","Census Tract 8371; Cook County; Illinois",691,48880,1515,0.944
"1277","Census Tract 8373; Cook County; Illinois",919,18949,2276,0.912
"1278","Census Tract 8374; Cook County; Illinois",744,51250,2186,0.956
"1279","Census Tract 8378; Cook County; Illinois",1243,58681,2836,0.97
"1280","Census Tract 8380; Cook County; Illinois",1423,26673,2671,0.967
"1281","Census Tract 8381; Cook County; Illinois",1066,26000,1501,0.911
"1282","Census Tract 8382; Cook County; Illinois",372,83929,1662,0.987
"1283","Census Tract 8383; Cook County; Illinois",1414,112381,2404,0.975
"1284","Census Tract 8386; Cook County; Illinois",613,18537,1369,0.942
"1285","Census Tract 8387; Cook County; Illinois",1565,21834,3737,0.829
"1286","Census Tract 8388; Cook County; Illinois",1132,29120,3225,0.888
"1287","Census Tract 8390; Cook County; Illinois",6110,110306,10190,0.976
"1288","Census Tract 8391; Cook County; Illinois",4727,122978,7587,0.961
"1289","Census Tract 8392; Cook County; Illinois",1476,43090,2375,0.948
"1290","Census Tract 8395; Cook County; Illinois",794,NA,1804,0.952
"1291","Census Tract 8396; Cook County; Illinois",982,65062,1965,0.934
"1292","Census Tract 8397; Cook County; Illinois",1933,83498,4753,0.926
"1293","Census Tract 8398; Cook County; Illinois",1121,77560,2662,0.908
"1294","Census Tract 8399; Cook County; Illinois",2099,100217,4558,0.978
"1295","Census Tract 8400; Cook County; Illinois",1067,105481,2651,0.959
"1296","Census Tract 8401; Cook County; Illinois",1148,66765,2880,0.933
"1297","Census Tract 8402; Cook County; Illinois",827,41359,2192,0.919
"1298","Census Tract 8403; Cook County; Illinois",1258,65909,3646,0.875
"1299","Census Tract 8404; Cook County; Illinois",1168,71667,3434,0.847
"1300","Census Tract 8407; Cook County; Illinois",1256,97727,3930,0.882
"1301","Census Tract 8408; Cook County; Illinois",932,45326,3258,0.85
"1302","Census Tract 8410; Cook County; Illinois",665,103750,1148,0.992
"1303","Census Tract 8411; Cook County; Illinois",2838,48542,6990,0.91
"1304","Census Tract 8412; Cook County; Illinois",1727,60498,4414,0.904
"1305","Census Tract 8413; Cook County; Illinois",1916,79744,4317,0.916
"1306","Census Tract 8415; Cook County; Illinois",785,26950,1909,0.931
"1307","Census Tract 8417; Cook County; Illinois",600,24663,1137,0.813
"1308","Census Tract 8418; Cook County; Illinois",894,45294,2325,0.923
"1309","Census Tract 8419; Cook County; Illinois",1592,131803,5983,0.962
"1310","Census Tract 8420; Cook County; Illinois",357,116875,2156,0.917
"1311","Census Tract 8421; Cook County; Illinois",2064,50907,7105,0.69
"1312","Census Tract 8422; Cook County; Illinois",2351,102036,3602,0.984
"1313","Census Tract 8423; Cook County; Illinois",1703,167407,3660,0.954
"1314","Census Tract 8424; Cook County; Illinois",1473,72616,3167,0.888
"1315","Census Tract 8425; Cook County; Illinois",930,27955,2449,0.898
"1316","Census Tract 8426; Cook County; Illinois",1551,90521,4540,0.909
"1317","Census Tract 8428; Cook County; Illinois",2047,49020,6069,0.829
"1318","Census Tract 8429; Cook County; Illinois",1445,19304,3216,0.815
"1319","Census Tract 8430; Cook County; Illinois",1022,23587,2396,0.902
"1320","Census Tract 8431; Cook County; Illinois",481,46659,1564,0.836
"1321","Census Tract 8432; Cook County; Illinois",1015,66172,2348,0.856
"1322","Census Tract 8433; Cook County; Illinois",393,41250,1525,0.899
"1323","Census Tract 8434; Cook County; Illinois",490,32404,1209,0.844
"1324","Census Tract 8435; Cook County; Illinois",257,52875,820,0.904
"1325","Census Tract 8436; Cook County; Illinois",1478,55250,2966,0.897
"1326","Census Tract 8437; Cook County; Illinois",1017,191384,2453,0.974
"1327","Census Tract 8438; Cook County; Illinois",719,32095,1479,0.909
"1328","Census Tract 8439; Cook County; Illinois",2201,56926,3700,0.91
"1329","Census Tract 8446; Cook County; Illinois",828,54565,2093,0.927
"1330","Census Tract 8447; Cook County; Illinois",647,51298,1753,0.78
"1331","Census Tract 9800; Cook County; Illinois",0,NA,0,NA
"1332","Census Tract 9801; Cook County; Illinois",0,NA,0,NA
"1333","Census Tract 9900; Cook County; Illinois",0,NA,0,NA
